Description,Days,Price,AvailableOn,Rating,Comment
,55,15052,Amazon,5,"Its camera is very good, you can see the picture taken of the camera, the display is super smooth."
,56,12845,Amazon,5,Good
,57,14135,Amazon,5,This is the best 👍💯
,58,13573,Flipkart,4,Overall a good phone
,59,14348,Amazon,4,1.Very nice mobile.🙂2.Nice photo capture👌📸3.Processor is very good📱4. Awesome battery backup 😀5. Delivery is very fast.
,60,14630,Flipkart,5,Awesome product.i am really happy to bought this mobile in 14 k.😍And I loved it ❤
,61,14187,Amazon,5,Good
,62,13415,Flipkart,5,Owsm pdts excellent💯👍👏
,63,15742,Flipkart,4,Awesome product and budget full camera is good quality and package also good
,64,13183,Flipkart,5,Supr
,65,12566,Flipkart,5,Must buy very nice phone 😍😍😍
,66,13793,Flipkart,5,It is the best product wow
,67,13038,Amazon,4,Overall it's good but battery back up is not such
,68,13469,Flipkart,5,Super
,69,15001,Amazon,1,Battery dead too fast and Profomanc is very poorWhen I playing bgmi then too lag
,70,13146,Amazon,5,Good
,71,15090,Amazon,1,Battery drain fast and heating problem?
,72,13325,Flipkart,5,Under 18k every think good Gameing time hit issues only please fix it pocoThank you🙏
,73,14231,Amazon,5,When I start the device I am facing some lags but after updating poco launcher  it's totally change  I love this miui . Cools animation . Clear camera 
,74,14151,Amazon,3,"Got 8/128 varient on 14k. Overall good phone. Just discussing the cons, so you should consider this cons will affect you or not• Bluetooth earphone sound quality too low• Heating issue• Charging starting 1sec late• 64mp sensor not good• Over sharp display• Fingerprint sensor not working sometimesRather than other segment are good. Overall value for money smartphone."
,75,12514,Flipkart,5,I'm from tamilnadu .I got it fastly 😍.vera level product 😎🔥🔥😉worth for money
,76,13689,Amazon,5,"Really camera super, and gaming support super, battery is 1 day mobile full access good, poco is better."
,77,13477,Amazon,5,Goog
,78,13202,Flipkart,3,I purchase this phone it's was pretty good.! It's ok in this budget segment.!
,79,13707,Flipkart,4,GOOD MOBILE FOR GAMING AND PHOTOGRAPHY. FRAONT CAMERA QUALITY IS SO POOR.BUT PRODUCT IS GOOD.
,80,14817,Flipkart,5,Very good productValue for money
,81,12779,Flipkart,5,Beautiful
,82,13868,Flipkart,5,I am so happy😊 good👍 quality😉 and delivery very fast🚴.thanks 🙏to flipkart 🤗
,83,15583,Amazon,5,Sexy👙👠💋 Phone
,84,12905,Flipkart,1,"Very good poco M4 pro👌👌 product, but flipkart is a very useless company, it takes a lot of time to improve the product"
,85,12926,Amazon,5,"Superb mobile,,, out standing"
,86,13379,Flipkart,5,For gaming it is best phone ever
,87,13973,Amazon,5,Very nice
,88,14035,Flipkart,5,O Nice
,89,14979,Flipkart,5,Very good quality
,90,12632,Flipkart,5,Good mobile
,91,15016,Amazon,5,Great Product
,92,14151,Flipkart,4,This is my second phone. First I was using Redmi 6A. But after using this phone I love this brand (poco). Marks I give (out of 5) after using this phone 1month Camera: 4.3Speaker: 4.8Display: 4.6Performance: 4.8Design: 4.0Battery backup: 5.0Features: 5.0Better than an iPhone
,93,14713,Flipkart,3,Product is good but this phone has not so much expected features.hence i don't like its ui
,94,13664,Amazon,3,Very nice phone 👍Good phone 📱
,95,14043,Flipkart,5,It's good phone
,96,13726,Amazon,5,Good product 👌🏻👌🏻👌🏻
,97,12823,Flipkart,1,Worst product ever
,98,15922,Flipkart,5,Excellent performanceCamera 75%Display 1000000%Battery 100%
,99,13605,Amazon,5,Super camera
,100,13526,Amazon,5,Best ever😍😍
,101,13247,Flipkart,5,First i  got a defaulted phone but in replacement the phone is quite impressive and it's performance is superb but there is only one con i.e some times in some apps sound stops for some time and comes to original
,102,15109,Flipkart,4,"Actually the product is ok but i had faced a worst experience regarding rhe payment option zero cost Emi mentioned with credit card Emi but, i have to pay 532+3812 as only interest with using Sbi credit card"
,103,14192,Flipkart,5,"Very nice product, timely delivered by Flipkart"
,104,14317,Flipkart,5,Excellent
,105,14216,Amazon,1,Please Don't buy this product from flipkart. They are sending wrong information to the customer as well as there technical team is horrible. The phone's camera is pathetic as well as the phone has massive hitting issues. Please Don't go for this phone as well as please Don't buy this phone from flipkart.
,106,15719,Flipkart,4,Best under 15k value for money
,107,13013,Flipkart,1,Camera clarity is not good And the external speakers are worst and sound is not soo audible.
,108,14060,Flipkart,5,Awesome phone poco m4 nd battery camera's both are super. Nd charging very fast😇😇😇👍
,109,14889,Flipkart,4,I got it in a great deal.
,110,13782,Amazon,5,"Using for 5 days, till now working fineBought 8/128GB VariantCamera: 4/5Battery: 5/5Processor: 5/5Design: 5/5Cons: Only moderate heating issues"
,111,13391,Flipkart,5,Very good I'm very happy with this phone
,112,15079,Flipkart,2,As per observed speak sound quality very low
,113,15858,Amazon,1,"I can't hear the voice while calling to others the speaker is too low, low voice"
,114,13691,Flipkart,1,Built quality is very cheap. The sensors doesn't respond properly ☹️
,115,12787,Flipkart,1,"Don't buy poco phones due to so many negatives. Service, performance, camera all very bad"
,116,15804,Amazon,4,Flipkart delivery is amazing but mobile was net on but hanging 🤔🤔🤔🙄🙄🙄 after one month very nice product so must buy
,117,13825,Flipkart,5,Very best smart phone in budget and camera qualityPerformance
,118,13285,Flipkart,1,Phone is working fine but just yesterday I have bought it and speaker isn't working properly sometimes it's gets Lowder sometimes lower
,119,13441,Amazon,5,Phone is ok for price.
,120,14132,Flipkart,5,Nice camera and proccessor
,121,12855,Amazon,5,Nice product
,122,14762,Flipkart,5,Best phone in this price range Good camera quality
,123,12766,Amazon,5,Very good phone and very good degine but this phone cover not available in your local market
,124,13565,Flipkart,5,Bast poco m4 pro phone is youre nice
,125,12883,Amazon,5,"Amazing performance and very nice camara, display etc."
,126,15704,Amazon,5,Nice products
,127,13807,Amazon,5,Outstanding Looks so premium.
,128,14607,Amazon,4,"I loved the design, camera is superb, display's quality at it's peak.The quality of speakers is so good.The only cons i noticed is the battery backup was so low you'll get a normal battery backup only when you enable the battery saving mode.Overall this is the king in this budget. blindly go for it.🙌👌🤩"
,129,14443,Amazon,5,Awesome phone
,130,14385,Amazon,5,"The best product, best serviceGood looking smart phone"
,131,12986,Flipkart,5,Nice 😊😊😊
,132,13567,Flipkart,5,Every  nice 👍
,133,13600,Amazon,5,super
,134,14748,Flipkart,5,Best price for display and performance value for money
,135,12712,Flipkart,5,Best phone ever love this😍😍Best in price range🥰Charging so fast😍
,136,13696,Flipkart,4,Well played pubg poco M4 pro🤩🤩🤩🤩
,137,15074,Flipkart,2,Poor camera quality
,138,14208,Amazon,5,Super mobile excellent camera super gaming phone
,139,13074,Flipkart,4,Woww amazing phn camera is too gd
,140,14665,Amazon,5,Super
,141,12748,Amazon,4,Some time it's heat. Other wise this is nice phone.
,142,15714,Amazon,5,Super fatafati darun darun sei sei iphone er thekeu valo camera
,143,13416,Amazon,1,Device is hanging. Not performing as I expected.
,144,15193,Flipkart,5,Camera and mobile performance is very good but battery going down fast🙂
,145,14527,Amazon,2,Speaker hearing is very low cratche in grollia glass
,146,14191,Flipkart,5,Camera quality is good 😄.
,147,13968,Flipkart,5,Nice   mobail  value of mony
,148,12681,Amazon,5,Nice mobile phone I love this mobile
,149,15397,Amazon,5,"Product is Good , But battery performance is not Good !"
,150,13236,Amazon,4,Over all a nice purchase at this price! But it has the heating issues.
,151,14450,Flipkart,5,Super  phone
,152,15959,Flipkart,5,Nice product and nice performing
,153,13538,Amazon,5,Fabulous and really value for money. Best of the best phone ever at this price range ✨
,154,14105,Flipkart,5,Good qualityBest of designVery niceUse one weeks
,155,15225,Amazon,5,Its camera quality is very nice
,156,13740,Flipkart,3,Battery pickup is very low
,157,15963,Flipkart,5,Good
,158,12738,Amazon,3,Camera very poor quality
,159,12506,Flipkart,1,Camera quality is very poor.Photo quality like 12mgp
,160,15692,Amazon,5,"Very good mobile, but battery only drawback"
,161,13844,Amazon,5,Very smooth and nice camera
,162,12732,Amazon,5,Best 👍 purchase nice phone in this range
,163,15999,Amazon,1,"Multiple complaints; calling function not proper. Voice not clear to the receiver due to high echo, even not using the speaker phone. SD card not directly configurable for backup or large audio/video files."
,164,15384,Amazon,5,Good
,165,15064,Flipkart,5,Phone perfomance is good 5 layer cooling system Display is good
,166,14302,Amazon,5,Good mobile
,167,12512,Amazon,1,Battery backup is not good It started hanging in 2 months itself.  And it's started heating and I'm editing this review after 6vmonth now I'm getting more problems now guys   don't buy this
,168,12695,Amazon,2,"Not satisfied with the phone. 8 gb ram is only on paper not at work. The phone is hanging very much after 1 month of usage.  Proximity sensor not working well, and call gets muted frequently while calling. Not recommended to buy."
,169,13907,Amazon,1,Very bad mobile Hang Battery iss very bad Perfomence very bad
,170,14944,Flipkart,5,I will give this to:  10*out of 8*
,171,14683,Flipkart,4,The Performance is good. Rear camera quality is good. Front camera not much satisfactory but ok. Battery performance good. Fast charging also good.
,172,13138,Flipkart,1,"Very bad display, it is still bubbling and moving small and big in size"
,173,14901,Flipkart,5,Super
,174,15095,Flipkart,3,Camera picture is low quality.
,175,15803,Flipkart,1,Poco M4 Pro camera performance very bad and poor 😡
,176,15736,Amazon,5,Super poco m4 broo
,177,13456,Amazon,3,Excellent
,178,15725,Amazon,4,Good
,179,13572,Amazon,4,Excellent👍 mobile. I luv ❤it Worthy for
,180,14040,Amazon,4,"Poco M4 pro 8gb/128gb best segment in this price, camera is not bad, fingerprint very well, display 90hz but viewing 120hz quality, sound effect without headphone mind blowing 💥, overall performance 👌"
,181,13709,Flipkart,5,Good
,182,13849,Amazon,5,Design as well as the performance is good.
,183,14202,Flipkart,5,Awesome in this kind of rangemoney valuable
,184,15468,Amazon,5,Excellent phone vaild for money Camera is good display is goodOverall phone is best
,185,12858,Flipkart,5,Superb model 💖 and also good working!!
,186,15072,Flipkart,1,"If u want to waste your money buy this phone and dump it in your house, they wont take it for return, thats the quality you get for such price so better stop buying this."
,187,14779,Flipkart,5,Very good nice Price And DiscountSound quality excellentCamara excellentDisplay excellent🎮 Game .good 👍Nice all round the pohn Any one --
,188,15046,Amazon,1,Bad product
,189,13770,Amazon,1,"Comparatively other phones, this phone is not good for not to recommend, video and other apps not playing"
,190,15762,Amazon,5,Poco m4 pro OMG
,191,15177,Amazon,5,Justified on this price range.
,192,13765,Amazon,5,Good mobile
,193,15210,Amazon,5,Everything is awesome but only camera is not as it given 64 mps and Oppo 50 mps is better and clearer
,194,13586,Amazon,2,Lag problem and automatic screen lag ang all White display. And display hang not working some after some time switch off phone so it's problem to I hate this products thank you🙏
,195,15501,Flipkart,1,One the worst mobile ever I bought don't buy this kind of mobile tooooo poooorrr performance
,196,13581,Amazon,5,Best Phone under 15K
,197,12776,Amazon,5,Poco m4 pro mast h good mobile love it❤❤
,198,12569,Flipkart,4,Display quality super Sound quality  nice stereo speakers but not up to MarkCamera quality is decentBattery backup is super Totally Value for money
,199,15600,Flipkart,2,heating up very fast. message not working in second space
,200,14171,Flipkart,4,Better phone
,201,15407,Amazon,1,Don't buy it
,202,12934,Flipkart,5,Good
,203,15145,Amazon,5,Nice but Charge problem
,204,13412,Flipkart,1,This phone has been over hetting
,205,15767,Flipkart,5,Parfect work this mobile.
,206,14916,Flipkart,3,Display not good performance not good battery power very good long time camera very very bad I am not happy
,207,14051,Amazon,4,Good
,208,14053,Flipkart,2,Battery 🔋 problemSound 🔊 problem
,209,13842,Flipkart,5,"Best phone , best performance but sometimes little amount of bugs found otherwise good"
,210,14751,Flipkart,4,It's nice phone but I think that its battery life should be improvn
,211,12633,Flipkart,3,Iam satisfied with the phone but chargeing fastly and charge down fastly. I think battery is not good
,212,14345,Amazon,4,Best for gamers 🎮 and value of money and camera and betery is medium  and display is good👍
,213,14713,Amazon,1,Battery life is lessCamera not that good as expected
,214,15515,Flipkart,2,It's not like
,215,15958,Flipkart,1,Not bad at all
,216,15454,Flipkart,5,Good
,217,12734,Flipkart,5,Nice phone
,218,15899,Flipkart,5,"Mobaile - very good Quality, battary - nice battery backup, camera - good quality and all of the very good."
,219,15155,Flipkart,5,Awesome
,220,13666,Amazon,5,Awesome poco M4 Pro if you are looking for Budget phone under 15k with all loaded features specifically IR blaster is awesome go for it highly recommend 10 out of 10 phone again
,221,13191,Amazon,5,Quite Nice Amoled Display And Performance Of Device. But Battery Backup Is Less Considering It Has An 12 Nm Chipset it Is obvious.Haptics Feedback don't work in BGMI only for normal usage it works. Overall Value For For Money Device ❤.
,222,14477,Flipkart,5,Excellent phone under 14kI have used this for 2 weeks And I'm extremely satisfied with this phone
,223,14725,Amazon,5,"No words about it, excellent phone"
,224,12948,Amazon,5,"This phone is good at this price range, I have faced only one problem battery capacity is not good but you will get 33 wt charger in the box. I will suggest you to buy this phone📱."
,225,13486,Flipkart,4,After using one week it's found good. Battery backup is quite good but camera is not so good
,226,12927,Flipkart,4,Damdar fon
,227,13945,Flipkart,5,Very good packaging nice mobile
,228,13104,Amazon,4,"The mobile was awesome,but when I put charging the charging connection takes 3 seconds to connect,all over mobile is awesome"
,229,13483,Amazon,5,Super
,230,15056,Amazon,5,Excellent
,231,13415,Flipkart,5,The best phone in budget.
,232,15744,Flipkart,1,Very poor don't buy
,233,13318,Flipkart,4,Ok ok camara
,234,15386,Amazon,4,"It's a good phone, the battery back up is really good. The camera is of good quality, I bought the 8gb version but I thought the loading speed to be not as expectedGood phone for the money"
,235,13100,Amazon,5,Best mobile under 17k
,236,15471,Flipkart,3,Good
,237,13791,Amazon,4,All are ok but battery performance is not good.It's capable is very less time
,238,14422,Amazon,4,Camera and display is too good.battery is good.i like this sound quality.overally this Phone is very good and value for money
,239,15898,Flipkart,4,Good product in this price
,240,15114,Flipkart,4,Good phone
,241,14344,Flipkart,5,Best quality
,242,12564,Amazon,2,"Poor camera, display is not working properly very poor phone please don't buy . Very bad phone the phone is hanging from 1 st day"
,243,12753,Flipkart,1,India's first bad and worst mobile
,244,13497,Amazon,1,Phone gets hang after sum weeks
,245,15165,Amazon,1,Worst piece in this catagory
,246,14985,Amazon,3,Sound quality down
,247,15256,Flipkart,5,I didn't expect much difference in performance of 6gb and 8gb ram varient but there is actually a big difference and i am impressedand the display is also fantastic overall best performance and speed phone in the market amongst the one launched recently.and buy 8gb varient only its better than 6gb unexpectedly
,248,15624,Amazon,5,Nice mobile
,249,13572,Flipkart,1,"Never buy this product  Battery  very bad.Display  quality not good.Camera not good. Buy another mobile your money is very important, never loss your money for this phone."
,250,14102,Flipkart,1,Mobail eating problem
,251,13378,Amazon,1,Battery problem And display was heading
,252,12786,Flipkart,4,Nice camera thinks flipkartFast delivery low prices
,253,14062,Flipkart,4,Value for money product 👌
,254,12608,Amazon,2,Battery is draining fast
,255,15123,Amazon,1,Worrest product battery is not support draining fast
,256,14992,Flipkart,5,Really value for money 😍🥰once again I told to all gamer's Buy this product
,257,13248,Amazon,5,Excellent
,258,12763,Amazon,1,Display is avarage quality and phone is lagging even buy 8 gb ram and sound is very low
,259,14301,Amazon,5,Nice FC thank you. I like it.😊
,260,12645,Amazon,3,Phone heating issue and some time hang in the phone
,261,13397,Amazon,1,"Props:I got 8gb 128gb varient in 14000Cons: Heating issues, Battery backup not upto the mark."
,262,13499,Amazon,1,"This POCO M4 PRO 8GB 128GB, Camera Just name shake 64Megapixkel , not expect as per mention featured. Just okay for RAM and Memory Spaces. Apart from nothing new, All phones look's same and features, POCO also same"
,263,15496,Amazon,1,Very very bad👎 😡😡
,264,14320,Amazon,2,Speaker sound is very low Not good soundWithout headphone it is of no use
,265,14779,Amazon,4,This is complete package phone
,266,12578,Flipkart,5,all-rounder worth of this money must buy
,267,15418,Flipkart,5,Absolutely value for money.Best product in this proce range and also looks are luxy.
,268,12967,Flipkart,3,Good product. Worth the money. No complaints till now.
,269,15767,Amazon,4,Heating issue overall phone Is good
,270,13360,Flipkart,5,Nice superrb mobile
,271,14444,Amazon,5,Worth for price
,272,15249,Flipkart,3,Awesome phone 8/ 128 gb
,273,12891,Flipkart,5,Value for money have great features
,274,14395,Flipkart,4,Good
,275,14469,Flipkart,2,Didn't like battery power 👎👎👎👎👎
,276,14677,Amazon,1,Camera quality is very bad
,277,15917,Flipkart,5,Best 👍 Phone All is good
,278,13332,Flipkart,5,Value for money
,279,15012,Flipkart,5,Good
,280,14050,Amazon,5,Thanks for Flipkart.
,281,14543,Amazon,4,very good
,282,12794,Amazon,5,Nice mobil
,283,14106,Amazon,1,Worst phone and worst seller in filpkartCheaters Dont buy this phone its battery quality is very low
,284,13656,Amazon,5,Nice budget phone
,285,13929,Flipkart,1,Very bad quality product camera not good battery very bad
,286,15077,Flipkart,2,Battery drain quickly and heating charging also very slow
,287,13474,Flipkart,5,Very nice camera
,288,13956,Flipkart,5,Best phone and selfie also
,289,13450,Flipkart,5,Super
,290,13665,Flipkart,4,Some time it's heat. Other wise this is nice phone.
,291,15356,Flipkart,5,Super fatafati darun darun sei sei iphone er thekeu valo camera
,292,13426,Amazon,1,Device is hanging. Not performing as I expected.
,293,15430,Flipkart,5,Camera and mobile performance is very good but battery going down fast🙂
,294,15266,Flipkart,2,Speaker hearing is very low cratche in grollia glass
,295,12503,Amazon,5,Camera quality is good 😄.
,296,14974,Flipkart,5,Nice   mobail  value of mony
,297,13030,Flipkart,5,Nice mobile phone I love this mobile
,298,12628,Amazon,5,"Product is Good , But battery performance is not Good !"
,299,13466,Flipkart,4,Over all a nice purchase at this price! But it has the heating issues.
,300,12729,Amazon,5,Super  phone
,301,14031,Flipkart,5,Nice product and nice performing
,302,13591,Amazon,5,Fabulous and really value for money. Best of the best phone ever at this price range ✨
,303,12656,Amazon,5,Good qualityBest of designVery niceUse one weeks
,304,14755,Flipkart,5,Its camera quality is very nice
,305,12867,Amazon,3,Battery pickup is very low
,306,15382,Amazon,5,Good
,307,12987,Flipkart,3,Camera very poor quality
,308,12558,Flipkart,1,Camera quality is very poor.Photo quality like 12mgp
,309,15086,Amazon,5,"Very good mobile, but battery only drawback"
,310,14287,Flipkart,5,Very smooth and nice camera
,311,13490,Flipkart,5,Best 👍 purchase nice phone in this range
,312,13002,Flipkart,1,"Multiple complaints; calling function not proper. Voice not clear to the receiver due to high echo, even not using the speaker phone. SD card not directly configurable for backup or large audio/video files."
,313,14733,Amazon,5,Good
,314,13879,Flipkart,5,Phone perfomance is good 5 layer cooling system Display is good
,315,13328,Flipkart,5,Good mobile
,316,14525,Amazon,1,Battery backup is not good It started hanging in 2 months itself.  And it's started heating and I'm editing this review after 6vmonth now I'm getting more problems now guys   don't buy this
,317,13691,Amazon,2,"Not satisfied with the phone. 8 gb ram is only on paper not at work. The phone is hanging very much after 1 month of usage.  Proximity sensor not working well, and call gets muted frequently while calling. Not recommended to buy."
,318,12555,Flipkart,1,Very bad mobile Hang Battery iss very bad Perfomence very bad
,319,14456,Amazon,5,I will give this to:  10*out of 8*
,320,12747,Amazon,4,The Performance is good. Rear camera quality is good. Front camera not much satisfactory but ok. Battery performance good. Fast charging also good.
,321,14042,Amazon,1,"Very bad display, it is still bubbling and moving small and big in size"
,322,15177,Flipkart,5,Super
,323,14891,Amazon,3,Camera picture is low quality.
,324,14851,Flipkart,1,Poco M4 Pro camera performance very bad and poor 😡
,325,15789,Amazon,5,Super poco m4 broo
,326,14127,Flipkart,3,Excellent
,327,13640,Flipkart,4,Good
,328,12717,Flipkart,4,Excellent👍 mobile. I luv ❤it Worthy for
,329,13513,Amazon,4,"Poco M4 pro 8gb/128gb best segment in this price, camera is not bad, fingerprint very well, display 90hz but viewing 120hz quality, sound effect without headphone mind blowing 💥, overall performance 👌"
,330,14119,Amazon,5,Good
,331,12755,Amazon,5,Design as well as the performance is good.
,332,13131,Amazon,5,Awesome in this kind of rangemoney valuable
,333,13544,Amazon,5,Excellent phone vaild for money Camera is good display is goodOverall phone is best
,334,14582,Amazon,5,Superb model 💖 and also good working!!
,335,13748,Flipkart,1,"If u want to waste your money buy this phone and dump it in your house, they wont take it for return, thats the quality you get for such price so better stop buying this."
,336,13881,Flipkart,5,Very good nice Price And DiscountSound quality excellentCamara excellentDisplay excellent🎮 Game .good 👍Nice all round the pohn Any one --
,337,12665,Amazon,1,Bad product
,338,15425,Amazon,1,"Comparatively other phones, this phone is not good for not to recommend, video and other apps not playing"
,339,15800,Amazon,5,Poco m4 pro OMG
,340,13908,Flipkart,5,Justified on this price range.
,341,12594,Amazon,5,Good mobile
,342,12945,Flipkart,5,Everything is awesome but only camera is not as it given 64 mps and Oppo 50 mps is better and clearer
,343,14149,Amazon,2,Lag problem and automatic screen lag ang all White display. And display hang not working some after some time switch off phone so it's problem to I hate this products thank you🙏
,344,15147,Amazon,1,One the worst mobile ever I bought don't buy this kind of mobile tooooo poooorrr performance
,345,15176,Amazon,5,Best Phone under 15K
,346,15620,Amazon,5,Poco m4 pro mast h good mobile love it❤❤
,347,14456,Flipkart,4,Display quality super Sound quality  nice stereo speakers but not up to MarkCamera quality is decentBattery backup is super Totally Value for money
,348,13954,Amazon,2,heating up very fast. message not working in second space
,349,13604,Amazon,4,Better phone
,350,15901,Flipkart,1,Don't buy it
,351,14131,Amazon,5,Good
,352,12548,Amazon,5,Nice but Charge problem
,353,12969,Amazon,1,This phone has been over hetting
,354,13611,Amazon,5,Parfect work this mobile.
,355,13729,Amazon,3,Display not good performance not good battery power very good long time camera very very bad I am not happy
,356,14539,Amazon,4,Good
,357,15965,Flipkart,2,Battery 🔋 problemSound 🔊 problem
,358,14400,Flipkart,5,"Best phone , best performance but sometimes little amount of bugs found otherwise good"
,359,14930,Amazon,4,It's nice phone but I think that its battery life should be improvn
,360,13641,Amazon,3,Iam satisfied with the phone but chargeing fastly and charge down fastly. I think battery is not good
,361,15326,Amazon,4,Best for gamers 🎮 and value of money and camera and betery is medium  and display is good👍
,362,14606,Flipkart,1,Battery life is lessCamera not that good as expected
,363,14458,Amazon,2,It's not like
