Description,Days,Price,AvailableOn,Rating,Comment
,12,49309,Flipkart,4,I want to say that this laptop is very good for gaming. I have played Gta V and it works very well no lag at all but if you want to play games kindly be sure that the fan vents are not blocked so that the hot air can flow away or else you can face some minor lags on the laptop.
,13,54504,Flipkart,5,Giving A review After 6 months Of Usage 💪BATTERY- Before Purchasing acer aspire 7 I had read That it Gives about 1 -2 hour of battery Backup. However  In my Case I am getting 3-4 Hours easily after Doing Full charge In Normal Usage(not Playing Games) . By the way You can't expect more From a gaming Laptop😎 BOOTING SPEED- It Boots In 7-10 seconds😁 DISPLAY- this laptop has a 15.6 inch display Which looks amazing😏BUILD QUALITY- build Quality is average. What more you can expect From A 50.
,14,52473,Amazon,4,"This is very good laptop. I got it at 51k on the sale. performance is very good but it's battery life is about 3-4 hours but it's charger to too fast. It's design is so good, not look like a gaming laptop . It has backlit keyboard."
,15,53532,Amazon,5,"Value for Money!  Amazing Laptop I got!  It has mind blowing perfomance, It takes only 8 - 9 sec to boot ! Build Quality is also good.design is excellent ! It is completly made up of plastic but.build quality feels like it has mettalic body ! This is a quick review !"
,16,53141,Amazon,5,Got this one week before. Still got to learn so much about this pc. Very cool looking and stylish. Nice for small games. Graphic card supports many pc games. Xbox game bar is available.
,17,48577,Flipkart,5,STRAIGHT TO THE POINT:-PROS:-+Preinstalled WIN 11(not win 10 as stated)+I5 processor gives good performance in casual gaming and workspace+FOR GAMERS:- TESTED FPS{_GTA5 (70FPS)-ULTRA SETTINGS_VALORANT (150FPS)-HIGH GRAPHICS SETTINGS_RED DEAD REDEMPTION 2-(50FPS)-NORMAL SETTINGS-FORZA HORIZON 5 (60FPS)stable-Ultra settings-AC ORIGINS& VALHALLA (60+60FPS) HIGH SETTINGS}+Display is nice and crisp with the GTX 1650+Dx12+Build quality is nice(could have been better)Cons:- -Speake.
,18,52956,Amazon,4,After using 2 days -:        Perfomance - good        Battery - ok        Display -good        Build quality : could ve been better        Heating fastly while playing GTA 5 in high setting Battery in normal - 3-4 hr                  Gaming (gta 5 in very hight set) - 1-2 hrMy opinion about this lap : if you want good gaming with other works  go for this. Don't expect battery from this laptop and  build quilty is also not that great. Buy this lap when it's price is under 53k .
,19,48756,Flipkart,5,"I have fully stickered my laptop and This laptop is a beast For Gaming , Coding + 100% Good for education. Battery Backup is also good for Education gives 3 to 4 max . This Review i am doing after 1 and half month usage.  Totally I Love My Loving Laptop."
,20,52225,Amazon,5,Battery is not that good it's like kam chalao. Other part are excellent . Display is also has good colour
,21,54785,Flipkart,3,"Asus tuf with ditto same features provides 20% better performance. My friend has tuf, he gets 140 average fps with mid settings in valorant and I with aspire get 110 fps average. In case of gta 5, with mid settings tuf gives avg 80 fps and aspire gives avg 55 fps with same settings."
,22,50428,Flipkart,5,It's a beast laptop but only 1 thing I don't like is in keyboard center it gets hot n left n right side will be cool. While continues playing slowly the hotness spreads to left or right. But except hot . It's best for 12 hours gaming + steaming live.
,23,49470,Flipkart,5,"Amazing performance.Using battery saving mode, one can easily get 4hrs of battery backup.Acer care centre is also a useful thing.Make sure to debloat Norton security, it takes a chunk of RAM.I upgraded to windows 11 through installation assistant tool, then reset my PC, it's running awesome."
,24,48874,Amazon,4,No doubt laptop is good . Best laptop in budget everything is good display and performance is very good but battery and sound of laptop is not good at all max battery backup is 3 hours and the sound is very low you can't use laptop sound without speaker or earphones
,25,50939,Flipkart,4,"Great laptop except for a few flaws-Charging port is surprisingly difficult to insert the cable into due to a key like shape-needs to be inserted at a specific angle.Colour scheme is definitely on the duller side, which is good for indoor folks like me but for people prefering bright colours, this might be a problem.The cooling fan is quite loud but does its job well.Other than that, no specific complaints so far. Using it for a month now. On time and secure delivery by Flipkart"
,26,48862,Amazon,2,Iam reviewing this laptop after using one month. Good things:1 . Comparing my old laptop without graphic card and this lap performance is well2. Speed boot and faster start and shut down3. Designs and accessories okBad things:1 .  Battery backup is extremely 2hrs without game and big application iam using only virtual office like zoom meet it's dried after 2 and half hour very worst2. Camera quality very very worst like VGA camara3. File transfer is taken too long timeOverall.
,27,51341,Amazon,5,I am using this laptop from past 2 months and my overall experience is good with this product and i see lots of peoples are complaining about its battery life. I  am not sure about others products but mine is good .You can try installing NVIDIA geforce gaming drivers for better battery life . It happened with me when i installed studio drivers my battery drains with in 1 hour and after installing again gaming drivers my battery life enhance upto 4 to 5 hours on normal usage.
,28,54642,Amazon,5,"Best Laptop For Game as well as heavy work like Autocad , Solid works, CATIA and fusion 360 .Value for Money 👍👍"
,29,51087,Flipkart,5,Best product I have ever buy .please don't buy MSI laptop as its service centers is not available and customer support is 3rd class. Acer product are much much better.   in build quality and performance
,30,52903,Flipkart,3,1. Display Brightness is medium & just ok2. No Free MS OFFICE 3. Weight of laptop : heavy 4. No bag included or any freebies just laptop & adapter is given 5. Performance is good 6. A good beginners laptop7. I would rate it 7/10  8. No other choice in market if you need a laptop with good graphics at this price range
,31,53107,Amazon,3,"Gets the work done, mid range topperPros: good battery and processor, less boot time because of ssd, good ventilation, got all the required ports, back-lit keyboard, performance was beats everything Cons: heats up too much while gaming and other intensive tasks but not on regular usage, display could be better, keyboard is very compact you need to get used to it, speakers are really low"
,32,54585,Flipkart,5,Good work and very use full and good work such prize range
,33,54670,Flipkart,4,"Pros:- Value for money- Perfect for everyday task- Good processor(i5 10th gen - 10300H) and NVMe SSD made it ultra fast.(bios time around 2.5 seconds)- Keyboard and trackpad are pretty good- RTX 1650 can handle almost all games at 1080P. GTA V can run at high(not ultra) settings,- Display is not so great but sure value for money (More than good for everyday use, if you want extra precession use a external monitor)- USB C - type enables high quality speed and display- No heating issues."
,34,52207,Amazon,4,"Nice product. Good laptop for video editing and some programmes which need quite high graphics to run. But not so good  for FHD games and programmes which really need high end specs in sense of batteries, multitasking,and constant cooling upto 2 to 3 hours."
,35,51290,Flipkart,5,Rewiew after using for 5 months .I bought this Laptop at 52k and this is the best in this price range.Graphics cardIntel IT 10th gen Good display Battery is not that good as this is gaming laptop Overall Nice experience
,36,52700,Amazon,5,Most valuable laptop in this segment.No other brand is offering this specs in under 50k.Most valuable laptop for college guys who can't afford more than 50k and trying to buy a gaming laptop.
,37,53370,Amazon,5,If you are novice and new to pc gaming industry and looking for a budget gaming laptop avoiding high end games then it will perfectly suit you temperament and requirements.For me it's a value for money laptop in this price range.Additionally if you want a battery efficient one then go for the ryzen 5 model with U series processor.Rest I can't post the photos because its not with me now but you may refer to other photos posted.Thank you💓
,38,48019,Flipkart,5,"Worth to buy at this price range. Now I gone through all the way of my brand new acer aspire 7. Totally worth it when it comes to gaming and day to day works. But the only little bit cons is the battery, However it's better when comes to normal usage apart from gaming . May be 3- 4 hrs for normal activities which is good for Gaming laptop. I've played GTA 5 in it running at max frame rate at 1080p resolution.Surely go for this if you are student or programmer or a budget gamer🔥"
,39,48094,Amazon,5,1)Strongly recommend to those who interested to buy gaming laptop under 54k 2) I loved this laptop ❣️.3) battery backup good average upto 5 hr ( only programming)4) performance 5 🌟.
,40,51690,Flipkart,4,Flipkart delivery even before time loved it laptop has great performance display also great else I'll say after using for sometime  battery is also good
,41,51542,Flipkart,3,Overall it's awesome. But I am not happy with the battery backup. I recently downloaded Solid Works in my laptop due to that a rapid drain of power was observed without even using the software. Fully charged battery gave a backup of less than 2 hrs with normal usage. But after I uninstalled the software it started providing a backup of more than 6 hrs after a full charge. So as a gaming laptop it is expected to provide a suitable working condition for works in heavy softwares but unfortunatel.
,42,48526,Amazon,5,"Nice laptop with great features it as good speed  performance with 4gb graphics card due to this it as  a decent battery,sound not high and not low, no heating issue,data transfer, data surfing,charging also so fast.for this price this is the only laptop which comes with 4gb graphics , 5ghz clock speed more core processor"
,43,48884,Amazon,5,Lovely acer laptop is best laptop value for money best  Battery backup fast opening system in Mumbai launguage 1number
,44,54001,Flipkart,5,"This laptop is marvelous for this price range.I'm posting this review after 2 months of usage, overall the performance is not bad. Battery is also not bad, we get 4-5 hrs of usage for normal browsing or watching movies. But while playing games  we get only 2-3 hrs of usage. But the performance is quite good . Another important feature is the display. The display is very good."
,45,53452,Flipkart,5,Bought for 49980 during offer really worth it boots within 6 or 7 sec due to fast nvme ssd.really value for money for this laptop for coding related purpose it runs with ease. Played gta-5 in medium graphics more than playable.Advantages: performance is good                         Best laptop for this price                         Display is decentDisadvantages: Battery drains quickly within 2 to 3 hours even moderate usage but it is gaming we can't expect long battery                 .
,46,53283,Amazon,4,"After using it for about 2 weeks, I am here to give a positive review. This is totally a value for money laptop with very good specs and performance. Even the design of the laptop is quite good. If ur budget is less than 58K then this would be the best selection. It handles many games giving me good fps too. It has Wifi 6 enabling high speed wifi connectivityTalking about the negative aspect the laptop gets heated up too fast while light gaming, but I manage to keep the temp under control j."
,47,48464,Flipkart,5,Just simple lap . Not for a dedicated Gamer and editors . It's a all rounder lap for a btech students and professionals. It's display is awesome over all just love it 😍
,48,49756,Amazon,5,Great deal at this effective price (46k) . Just hope the audio output of this laptop could be better and otherthen this the laptop is best in the segment  It compete with 60k laptops
,49,48572,Amazon,5,"I am satisfied this laptop,🙂"
,50,48418,Amazon,5,This laptop is really worth buying 😚Sound is average but display is good 👍Performance is also superb 👌Boot time is also fast 🔥Battery backup is also not bad actually .U can live with it !!!Must buy
,51,49402,Flipkart,5,"LIKED THIS PRODUCT EXTREMELY FAST AND GOOD FOR ALL PEOPLE.LIKE IF U ARE A STUDENT , OFFICE WORKER OR PART TIME GAMER .THERE ARE MANY LAPTOPS in 50k with ryzen 5 5500u and integrated graphics but this comes in 53k (only 3k more) and you get very much Higher performance. And no laptop gives dedicated graphics under 55k, so if you have tight budget of 52k-53k then no other laptop is better than this."
,52,54912,Amazon,4,So i bought it last week and this is my honest review . Battery is ok in browsing but in gaming it gives about 50 mins to max 1:30 hours .it's a beast everything is smooth overall it's good if you're looking for budget gaming laptops but if can buy the amd version of this or the Asus tuf they are better than this and faster . So recommend if you are on a 50 k budget.
,53,51997,Flipkart,4,"Pros1) Performance is excellent. 2) good display3) good viewing angles(180° rotation) 4) original windows 10 and can be upgradable to windows 11 when available. Cons1) battery when video calling it's giving 1.20 hours and when browsing 2.30 hours, while gaming have to connect the charger 🔋🔌2) 🔊 speaker's  sound is not audible(1/10 ) deserves, u have to buy external speakers"
,54,48054,Amazon,5,Value of moneyToo good in 50 k rangePerformance is good Display is also good Battery backup is not so good but ok
,55,52906,Amazon,5,"It's a very nice laptop, everyone who needs a gaming laptop in mid range can grab this laptop.I am using hp and Dell laptop but they are too costly and in the same cost or lesser than hp and dell, acer is providing the best laptop.Surely you can go with this laptop.I am fully satisfied with this.Got this laptop at Rs. 43578 in BBD's."
,56,54571,Amazon,5,Such a incredible product work amazing its been almost 3 month without any of trouble its working proper full satiesfiedNot a single issues Pic not uploads because  while writting this review am relaxing  on couch and the laptop is in Another room and not in condition to move because am relaxing But you Dont wait if Relly want to buy Go for it Best deal ever
,57,48465,Flipkart,4,"Very good product, I have been used since last 3 months it  looks is good and works very fast"
,58,54646,Amazon,5,Wonderful product for coding and for watching videos.thanks to filpkart
,59,49198,Flipkart,4,Very good product. Good performanceDecent batteryLow sound qualityLittle heavy unable manageBoring designBut Value for money product. Worthy
,60,53066,Flipkart,5,Till now liked it very much
,61,50724,Amazon,5,Price worthy
,62,52684,Amazon,5,Best budget laptop.
,63,51064,Amazon,5,Best product
,64,52940,Amazon,5,Good 👍
,65,50870,Amazon,5,Its very good looking and nice working in every thing
,66,54394,Flipkart,5,Powerful
,67,49107,Flipkart,5,Amazing
,68,51557,Amazon,4,Awesome
,69,54944,Flipkart,5,"Very good laptop of this range,best performance but slightly the display disappointed."
,70,48715,Flipkart,5,One of the best gaming laptop in this price range. However sound quality is not that good. Moreover colour also. Sometimes it appears color too pale. Without any second thought you can go for it.
,71,50406,Flipkart,4,Nice product
,72,48582,Amazon,5,this is best laptop in this price
,73,50412,Flipkart,5,Just osm go for it very smooth booting time is very fast
,74,53987,Flipkart,5,"This is it.you looking for gaming buddy? Just buy this!! I play far cry 5, rdr 2, watch dogs 2, etc with almost ultra graphic settings. And this is soooo dope. Soooo much smooth gameplay , heating issue is actually normal. Not sooo much heating trouble. And the only thing you have to take care is, don't play games without charging. Because, battery don't have the tendency to withstand games like rdr 2. It'll only last upto max 1 or 1and a half hour. Trust me I got this lap on aug 3. And."
,75,50589,Amazon,4,I am giving this review after 10 day's .  From my side no problem with processor and GPU all are good1) Battery problem if you buying this laptop for online class or other network related continue task so you gate 2:30Hr battery backup only
,76,48051,Flipkart,5,Satisfied
,77,49265,Amazon,5,As of now working fine. I will update issue after 2-3 months use.
,78,52373,Amazon,4,"Reviewing It after Using a Couple Of WeeksPros:*Great Performance for this price Range*Gta5,farcry,forza horizon runs without any Lag in medium settings*I also use it for coding using eclipse and vscode.It gives faster output than my friends mac*Battery Lasts upto 7 hours on normal coding and browsing,film watching and 2 hours on GamingCons:*Sound is Low*Weight (negligible)"
,79,51918,Amazon,5,Best product
,80,52225,Flipkart,5,amazing features with great quality
,81,51217,Flipkart,5,Awesome laptop in this segment boots in 10 seconds
,82,49116,Amazon,5,Amazing laptop with amazing configuration. Above expectations. Value for money 😍 Go for this you will never be disappoint.
,83,54740,Flipkart,5,"Amazing laptop, Owesome experinceGood gaming, multitasking, laptopUse for video Editing, song making, and also use Heavy Software 👍"
,84,52845,Amazon,5,"Superb performance laptop and bettery is upto 4 to 6 hour in normal use and speaker is low , i bought it in 52k so good performance in price range ,"
,85,51058,Flipkart,5,Amazing product with i5 10th gen great speed and worthy
,86,53248,Flipkart,5,"I brought it for 49990 in big billion days.Everything is awesomeSpeaker sounds are so low, but clear Performance is great with i5 and 10th gen,512 SSD,8gb ram& 4gb graphic card"
,87,51670,Flipkart,5,"This product is awesome,  after lots of research  I bought thisbattery and overall performance is greatand you are not going to get 2.4 ghz base clock speed laptop in this rangeso go for this."
,88,49799,Amazon,5,Value for money
,89,49394,Flipkart,5,Just awesome .
,90,49403,Flipkart,5,"Writing this review  after 1 month usage on heavy gaming and editing laptop performance is great as per price but dont buy this laptops for heavy gaming it can run any game till now at 60fps on 1080p low Great for business purposes,coding,productivity and student uses and dont fall for reviews complaining screen bleeding only 1 in 1000 laptops have that and battry is not too good 1 hour backup on gaming and 2 to 3 hour depending on software for productivity and here are Some benchmarks    ."
,91,51100,Flipkart,3,Battery backup is worst and charging port is very hard to insert pin. Remaining things are fine.
,92,48593,Amazon,5,Excellent performance for gaming and multitasking.Running gta 5 with no lag and working smoothly.Good battery life upto 5hrs after fully used.Win 11 upgrade available.MS office not given in package.RAM upgradable to 32 gb.If using for gaming go with 1tb hdd. As 512 ssd is not sufficient.
,93,54007,Flipkart,3,"Battery life is low ,but it's built hard for gaming"
,94,49860,Amazon,5,I think in 2021 where Graphics card price on highThis laptop with good specifications value for money !
,95,49025,Flipkart,5,"I'll just say, it's worth it."
,96,51327,Amazon,5,Good display & designWindows 11 ready to downloadBest laptop under 50 k🙂👍👌Packing is perfect but delivery  a bit delayed
,97,48687,Flipkart,4,"Nice product at this budgetI got it for 49,990 during saleSpeakers quality is averageBest performance for gamingFor normal use max 4 hr battery backupAlways plugin while gaming"
,98,53838,Amazon,4,Good product
,99,54896,Amazon,5,Bought it for 53k after 3 months of usage im totally satisfied.its worth every penny.go for it. only draw back is its speakers although its not a problem.since i always use headsets.apart from that its totally worth it
,100,51208,Amazon,4,GOOD PRODUCT AT THIS PRICE RANGE .LOVED THE performance NICE PRODUCT.🧡❤️
,103,53852,Flipkart,5,As of now everything seems to be good .Will update after 15 days.
,104,51559,Flipkart,5,Good product
,105,51009,Flipkart,5,Good pc at this price for gaming 🙂
,106,51892,Flipkart,1,Sound is low
,107,50268,Amazon,5,Nice product Value for money
,108,50411,Flipkart,5,I have purchased this laptop from day 1 it working smoothly and slightly heat in keyboard on more tasks
,109,50111,Flipkart,5,Good product
,110,48176,Amazon,5,Awesome laptop specialy keyboard is good and volume is loudly than other laptop
,111,49158,Amazon,1,Build quality is very cheap and the laptop's body look very fragile
,112,50910,Flipkart,5,"First we have to highly appreciate to Flipkart because they provided product without single damage or any mistake so 5 start for this , Btw some people may get Non Acer branding Charger so no need to panic just check is that 135w no issue about this , aspire 7 don't have fingerprint so it would be better if it has fingerprint  and overall liked this acer aspire 7"
,120,50133,Amazon,5,"Best one in this budget, no doubt you can grab it"
,121,52808,Flipkart,3,"Display:4Performance:4.5Battery:1Sound:2Camera:2Heat:heavy game , heavy work lite heat enaugh.Battery life about 4.5 hours enaughDisplay good"
,122,50375,Amazon,3,"Display is not upto the mark, Alphabets in some applications are blurry. Performance is great."
,123,52005,Amazon,3,The laptop is best but there only 2 issues 1. Battery backup 2. Speaker
,124,54565,Amazon,4,"The laptop performance is great but battery does not last for more than 3 hours in single charge with moderate usage.Also, the speakers are not adequately loud. You can't hear anything with your ceiling fan turned on. So be prepared to get a bluetooth speaker with this laptop.For me 3 hours battery life is okay but the speaker output is really bad."
,125,54299,Amazon,3,The product is good bt the battery efficiency is not so goodAfterall the product is very perfect !
,126,51701,Amazon,5,Good Ill go simple and straight it’s is good for gaming and you’ll get 60fps in every thing don’t worry
,127,49525,Amazon,5,Best purchase
,128,52687,Amazon,5,Best Performance laptop in this range
,129,54856,Flipkart,5,Everything is awesome
,137,53271,Amazon,5,Amazing mind-blowing
,138,49337,Amazon,5,Got windows 11 update
,139,48866,Flipkart,4,Nice product
,140,50576,Flipkart,5,Really nice 😊😊
,141,51795,Amazon,4,"I am casual user of the laptop and no a gamer, so it is good till date. have not find any major issue. Everything is good and running as per expectation."
,142,54019,Flipkart,4,Product is good but battery backup and camara is poor.
,143,54288,Flipkart,5,JUST SUPERB IN SUCH A LOW PRICE RANGE JUST GO FOR IT .
,144,49206,Amazon,5,ProsBeast PerformanceGood build qualityProfessional DesignConsVery Low sound (if you use external speaker or headphones then no issues)Screen bleeding(medium)(which is I think common to every LCD screen display)Battery Backup is less than 3 hours without using heavy applications. (With heavy applications less than 1 hour)Overall it's the best laptop under 50k for performance 😊
,145,52736,Amazon,5,NICE
,146,50525,Flipkart,5,It's good laptop for me because coding and running a software aswell as mechanical softwares it awesome laptop for me thanks to Acer laptop and filpkart
,154,51932,Amazon,5,Best laptop under this price.
,155,49766,Flipkart,4,I can't add product image because it's say image upload failedBy the way lapy is osmSo much bugs in itAnd less digital security
,156,53683,Flipkart,3,Look n feel of qaulity is not bad it's impressive.Ppl saying build quality issue not at as usual like every mid range laptop.Bit look is on professional side rather than gaming one that's good touch.Speed is quite good but they could haven't to provide extra storage slot.Updation review after 10month usage It's too irritating while using keyboardNumbkey sudden stop working even main keyboard also not responding while typing some alphabets it's happens anytime while doing important work
,157,51509,Flipkart,4,"This is a great laptop, and the performance is so fast and good. Heavy applications also work very well. And there is a classy laptop in this price range . I am very happy with this laptop. Thank you Flipkart"
,158,50198,Amazon,5,Good Quality Laptop
,159,54409,Amazon,5,Greatly Designed.!!!
,160,49048,Amazon,5,SuperbValue for money
,161,49576,Flipkart,4,Awesome productBut the body is plastic easily scratch ableBetter apply a sticker 😉
,162,53437,Amazon,4,Simple designGood performanceAffordable priceI like this laptop
,163,50833,Amazon,4,Not bad considering the price i got mine under 50k definitely bang for bucks if ya r switching from potato pc then ya will love it😆
,171,52799,Amazon,4,Laptop is in good condition but not worthable for money
,172,52861,Amazon,4,Good
,173,50709,Flipkart,4,Good and value for money
,174,53561,Amazon,5,"Very good product and heating is very less, picture quality is very good but only MS office is missing"
,175,51185,Flipkart,5,Nice 😊
,176,54870,Amazon,5,Go for it.if you are searching for a budget friendly laptop under 60k then just go for it.performance is really good.Only thing u don't like is its speaker.otherwise everything is good.must buy!
,177,54376,Flipkart,4,"I got it today and performance wise this is the best laptop. However l, sound quality is very poor . So, for that I've to purchase speakers"
,178,52301,Amazon,5,excellent performance in gaming
,179,52514,Flipkart,5,Best product under 60k
,180,48601,Flipkart,2,My suggestion is to go for another laptop. Battery performance is worst. It's been 1 month I am using this laptop sound quality is very poor For every one my request is to go for good laptop not this
,188,52603,Flipkart,1,Build quality is poor but looks good . Battery will charge 0-100% In one and a half hours. Battery backup in better  performance mode is 3hours with high brightness . Sound quality is not good . Sometimes it's makes loud noise . Hinges are very disappointed . Little bit heats . My rating out of 10Display  8Sound 5Heat 7Speaker 5Keyboard 8Trackpad 6Hinges 5Battery 6Performance 8
,189,51528,Amazon,1,I am writing this after using 10 days please do not go for this product bcz battery back up very very poor and performance issue very very poor quality of the product do not buy this product on Flip kart
,190,50686,Amazon,4,"I got it at Rs-44170 in flipkart big big billion days 2021 with 6 months emi(icici credit card) I think during sale it it the best laptop upto 50k budget.If you want to spend  55k+ amount, then go for Asus tuff gaming f15 (ms office included)"
,191,51423,Flipkart,1,Hanging problem
,192,48620,Amazon,1,I bought it  last 4 months before but now battery not working very bad.
,193,51254,Amazon,5,"I have received this product yesterday, i damn good with its performance, i tried playing Gta5, it plays vera smooth and good.Performance-5/5Ram, Graphics,SSD -5/5Battery-3.5/5Display-3/5Built quality-2.5/5 Again i will write the review after one month"
,194,51689,Flipkart,5,Its Amazing laptop for who used always plugin.Battery capacity is tooo tooo lowww.Otherwise its very excellent laptop.Keyboard back light ok.
,195,53190,Flipkart,5,BEST LAPTOP FOR THIS PRICE RANGE AWSOME BUILD QUALITY BUT SPEAKERS ARE LESS LOUD THATS NOT A BIG ISSUE TEMP RARELY GOES 90. MY LAPTOP TEMP LIE UNDER 80 DURING GAMING AND EDITING AND I AM NOT USING IN THE PRESENCE OF AC
,196,52469,Flipkart,5,Great product
,197,53843,Flipkart,1,Fan makes sound even while browsing
,205,53427,Flipkart,1,Screen was blur and Sandy
,206,52522,Flipkart,3,"This is gaming laptop but the big con is battery backup 1.30 mins, and full charge time 2 hours👏👏 waste of money"
,207,53142,Amazon,2,Good but Not too good its budget free laptopDisplay problems
,208,54469,Flipkart,5,Best laptop for beginners who wish to study and very basic level gaming and editing 
,209,48132,Flipkart,5,"Everything is superb, Only two things in the specification are wrong antiglare screen & 9 hour Battery life. Otherwise its a beast in this price section. You can also go for its lower version ""ryzen"". Everything is same other than the processor. Due to its classic look, you can use it as an office laptop, no one will judge you."
,210,51072,Amazon,2,Very bad build quality and fan makes a lot of noise . Definitely not for gamingIf you are a gamer and gonna play games for more than 3-4 hours than the laptop will heat alot and that will create issues in your mother board. And new mother board costs around 15000 so spend a little more and get better quality product.
,211,49421,Flipkart,5,Awesome !!!Value for money
,212,50644,Flipkart,5,Excellent product 😍
,213,54227,Amazon,5,Good Product
,214,48001,Flipkart,1,Battery performance is very low
,222,51273,Flipkart,5,"It can play all triple A titles with ease at 40 - 60 fps in Low to Medium settings.I subscribed to Xbox games and this laptop was able to handle all the games from the store I tried.Games I played: Just Cause 4, RDR2, Forza 5, God of War, GTA 5, Pubg, etc"
,223,52944,Flipkart,5,Never buy this
,224,48810,Flipkart,1,After the 10 day the product display turn off. worst productDon't buy
,225,51715,Flipkart,4,Good product for bigner
,226,49471,Flipkart,4,Too Good Product .only faced Problem with Delivery .It Took total 10 days .Soo Annoying .Rest of Laptop Is Great In Terms Of Performance 
,227,48787,Flipkart,3,I am very disappointed because Acer can't give Laptop bags
,228,51042,Amazon,4,Best gaming laptop under budget 😃
,229,50259,Amazon,3,I use 2 days after its not working and no solution provided   its hanging problem  Dont purchase this 
,230,51203,Flipkart,5,Super awesome
,231,52809,Amazon,5,"Used for around 3 months now and so far so good at this price range, battery might be a problem for users who dont have regular electricity otherwise its really amazing."
,239,51380,Amazon,1,"Worst product  don't buy, facing hardware problem after 1st Update.Screen getting blank after typing login password only cursor is showing with black screen.Save you money, go for other brandI've 2 Acer laptops both are getting problem within 6 months."
,240,49537,Amazon,5,Sound quality is very bad . Camera is also 👎
,241,50590,Amazon,1,The most baakwas product ever used . Terrible product The worst laptop I have ever purchased  Don't buy it Waste of money
,242,49989,Amazon,4,Why I can't here sounds while in normal day sound like fan
,243,50191,Flipkart,1,I dont at all recommand buying laptop from this user. I specially bought this laptop to get windows 10 not 11. Windows is a newer version with full of bugs.
,244,48783,Flipkart,1,VERA VERY BAD BADBAD
,245,50568,Flipkart,1,I purchase the laptop window is crash laptop screen is  very worst flikring and blinking issue plz don't buy it .
,246,54359,Flipkart,1,Very worst product not happy
,247,54404,Flipkart,4,All OK and good Only battery have to improve
,248,50437,Flipkart,1,Web Camera protection glass not present
,256,52253,Flipkart,1,Totally disappointing
